sample_id,dish_name,path,type,bands,height,width,valid_pixels,source_roi_name,mask_source,has_microplastic,total_microplastic_area_pixels,total_microplastic_area_ratio,total_count,total_component_max_area,total_component_mean_area,soil_area_pixels,soil_area_ratio,soil_count,soil_component_max_area,soil_component_mean_area,soil_spectral_mean,soil_spectral_std,soil_pixel_spectral_std_mean,soil_band_48_mean,soil_band_48_std,soil_band_116_mean,soil_band_116_std,soil_band_183_mean,soil_band_183_std,soil_band_116_minus_48_mean,soil_band_116_div_48_mean,soil_band_183_minus_48_mean,soil_band_183_div_48_mean,soil_band_183_minus_116_mean,soil_band_183_div_116_mean,pp_area_pixels,pp_area_ratio,pp_count,pp_component_max_area,pp_component_mean_area,pp_spectral_mean,pp_spectral_std,pp_pixel_spectral_std_mean,pp_band_48_mean,pp_band_48_std,pp_band_116_mean,pp_band_116_std,pp_band_183_mean,pp_band_183_std,pp_band_116_minus_48_mean,pp_band_116_div_48_mean,pp_band_183_minus_48_mean,pp_band_183_div_48_mean,pp_band_183_minus_116_mean,pp_band_183_div_116_mean,pet_area_pixels,pet_area_ratio,pet_count,pet_component_max_area,pet_component_mean_area,pet_spectral_mean,pet_spectral_std,pet_pixel_spectral_std_mean,pet_band_48_mean,pet_band_48_std,pet_band_116_mean,pet_band_116_std,pet_band_183_mean,pet_band_183_std,pet_band_116_minus_48_mean,pet_band_116_div_48_mean,pet_band_183_minus_48_mean,pet_band_183_div_48_mean,pet_band_183_minus_116_mean,pet_band_183_div_116_mean,ps_area_pixels,ps_area_ratio,ps_count,ps_component_max_area,ps_component_mean_area,ps_spectral_mean,ps_spectral_std,ps_pixel_spectral_std_mean,ps_band_48_mean,ps_band_48_std,ps_band_116_mean,ps_band_116_std,ps_band_183_mean,ps_band_183_std,ps_band_116_minus_48_mean,ps_band_116_div_48_mean,ps_band_183_minus_48_mean,ps_band_183_div_48_mean,ps_band_183_minus_116_mean,ps_band_183_div_116_mean,pp_proxy_percent,pet_proxy_percent,ps_proxy_percent,total_proxy_percent
S1-S6_1_FX10FX17_2026_06_25_14_27_32_S1,S1,microplastic/S1-S6_1_2026_06_25_14_27_32/Merged/S1-S6_1_FX10FX17_2026_06_25_14_27_32_S1.npz,roi,633,469,469,172789,S1,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3083588778972626,0.07740680873394012,0.15445226430892944,0.17156049609184265,0.14709226787090302,0.21079398691654205,0.14932620525360107,0.2600358724594116,0.14394518733024597,0.0392334908246994,1.2286860420577024,0.08847537636756897,1.5157094924708356,0.04924188554286957,1.233601945971853,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_1_FX10FX17_2026_06_25_14_27_32_S2,S2,microplastic/S1-S6_1_2026_06_25_14_27_32/Merged/S1-S6_1_FX10FX17_2026_06_25_14_27_32_S2.npz,roi,633,469,469,172789,S2,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3965607285499573,0.10420164465904236,0.12602820992469788,0.20244789123535156,0.1041344404220581,0.25864270329475403,0.10356305539608002,0.33434563875198364,0.10419590771198273,0.056194812059402466,1.2775766727748938,0.13189774751663208,1.6515145537539688,0.07570293545722961,1.292693103238088,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_1_FX10FX17_2026_06_25_14_27_32_S3,S3,microplastic/S1-S6_1_2026_06_25_14_27_32/Merged/S1-S6_1_FX10FX17_2026_06_25_14_27_32_S3.npz,roi,633,469,469,172789,S3,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.4031734764575958,0.11269807070493698,0.1314510554075241,0.19604676961898804,0.0981689989566803,0.25916391611099243,0.10043969750404358,0.3371586501598358,0.10691201686859131,0.0631171464920044,1.3219494338757583,0.14111188054084778,1.7197868182938958,0.07799473404884338,1.300947505421397,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_1_FX10FX17_2026_06_25_14_27_32_S4,S4,microplastic/S1-S6_1_2026_06_25_14_27_32/Merged/S1-S6_1_FX10FX17_2026_06_25_14_27_32_S4.npz,roi,633,469,469,172789,S4,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3312952220439911,0.07935690879821777,0.13631922006607056,0.17928311228752136,0.13765965402126312,0.22651706635951996,0.13732881844043732,0.28783097863197327,0.13314256072044373,0.047233954071998596,1.2634601411662698,0.1085478663444519,1.6054550535154177,0.06131391227245331,1.2706812041046744,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_1_FX10FX17_2026_06_25_14_27_32_S5,S5,microplastic/S1-S6_1_2026_06_25_14_27_32/Merged/S1-S6_1_FX10FX17_2026_06_25_14_27_32_S5.npz,roi,633,469,469,172789,S5,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3040953278541565,0.07845491915941238,0.13428401947021484,0.1636057049036026,0.14090482890605927,0.2009260058403015,0.14331702888011932,0.25170573592185974,0.13979563117027283,0.037320300936698914,1.2281112444012159,0.08810003101825714,1.5384899693452998,0.05077973008155823,1.2527285100263157,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_1_FX10FX17_2026_06_25_14_27_32_S6,S6,microplastic/S1-S6_1_2026_06_25_14_27_32/Merged/S1-S6_1_FX10FX17_2026_06_25_14_27_32_S6.npz,roi,633,469,469,172789,S6,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.361971378326416,0.09544280916452408,0.12358589470386505,0.18554306030273438,0.1278722584247589,0.23700784146785736,0.125600203871727,0.30505383014678955,0.11875724792480469,0.051464781165122986,1.2773737863391517,0.11951076984405518,1.6441133915170953,0.06804598867893219,1.2871043770429869,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S1,S1,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S1.npz,roi,633,469,469,172789,S1,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.30963265895843506,0.07490742951631546,0.14847587049007416,0.17697323858737946,0.1496417373418808,0.21412393450737,0.1507306545972824,0.26249149441719055,0.14318786561489105,0.03715069591999054,1.2099226765387334,0.0855182558298111,1.4832270489732096,0.04836755990982056,1.225885817113807,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S2,S2,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S2.npz,roi,633,469,469,172789,S2,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.32297396659851074,0.07587594538927078,0.13145498931407928,0.17903375625610352,0.1345098912715912,0.22242321074008942,0.13451100885868073,0.27954918146133423,0.12873198091983795,0.0433894544839859,1.2423534834510108,0.10051542520523071,1.5614328119298675,0.05712597072124481,1.2568345746433758,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S3,S3,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S3.npz,roi,633,469,469,172789,S3,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3192145824432373,0.06999219954013824,0.14914169907569885,0.18590229749679565,0.16629721224308014,0.22432568669319153,0.16412068903446198,0.27800899744033813,0.1573948860168457,0.038423389196395874,1.2066859297263832,0.09210669994354248,1.4954575666023175,0.053683310747146606,1.2393096909163543,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S4,S4,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S4.npz,roi,633,469,469,172789,S4,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3113022446632385,0.05213863030076027,0.1678393930196762,0.2055535614490509,0.2034568041563034,0.23891137540340424,0.20064125955104828,0.2858971059322357,0.18951962888240814,0.03335781395435333,1.1622828313905011,0.08034354448318481,1.3908642784722511,0.04698573052883148,1.1966659412909728,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S5,S5,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S5.npz,roi,633,469,469,172789,S5,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.4141542911529541,0.11539553105831146,0.1384136825799942,0.20913031697273254,0.11168823391199112,0.2612588107585907,0.11385302990674973,0.33603063225746155,0.11842799186706543,0.052128493785858154,1.2492632084168596,0.126900315284729,1.6068001862268249,0.07477182149887085,1.286198277033274,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_2_FX10FX17_2026_06_25_14_31_42_S6,S6,microplastic/S1-S6_2_2026_06_25_14_31_42/Merged/S1-S6_2_FX10FX17_2026_06_25_14_31_42_S6.npz,roi,633,469,469,172789,S6,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3440856337547302,0.0869188979268074,0.12956826388835907,0.17971402406692505,0.14063628017902374,0.22931529581546783,0.14035634696483612,0.2946111857891083,0.1335551142692566,0.049601271748542786,1.2760011190338234,0.11489716172218323,1.6393333092324271,0.06529588997364044,1.284742846051511,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S1,S1,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S1.npz,roi,633,469,469,172789,S1,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.30472925305366516,0.07039070129394531,0.14870040118694305,0.17412999272346497,0.15705624222755432,0.2145920693874359,0.15948188304901123,0.26427263021469116,0.15301771461963654,0.04046207666397095,1.2323670726169993,0.0901426374912262,1.5176743884345145,0.04968056082725525,1.2315116349316682,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S2,S2,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S2.npz,roi,633,469,469,172789,S2,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.37037256360054016,0.09227844327688217,0.13350124657154083,0.19542992115020752,0.11955919116735458,0.24826538562774658,0.12048626691102982,0.3176400363445282,0.11891080439090729,0.05283546447753906,1.2703550416772142,0.12221011519432068,1.6253398378050306,0.06937465071678162,1.2794374678587017,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S3,S3,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S3.npz,roi,633,469,469,172789,S3,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.3481268584728241,0.08586465567350388,0.14268486201763153,0.1834183931350708,0.13745146989822388,0.23693443834781647,0.14017291367053986,0.30208829045295715,0.14017146825790405,0.053516045212745667,1.2917703306523682,0.11866989731788635,1.6469901697944593,0.06515385210514069,1.274986838382252,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-S6_3_FX10FX17_2026_06_25_14_39_30_S4,S4,microplastic/S1-S6_3_2026_06_25_14_39_30/Merged/S1-S6_3_FX10FX17_2026_06_25_14_39_30_S4.npz,roi,633,469,469,172789,S4,annotation,0,0,0.0,0,0,0.0,172789,1.0,0,0,0.0,0.30958738923072815,0.06649868935346603,0.1401902586221695,0.17894192039966583,0.14750470221042633,0.22182360291481018,0.14860570430755615,0.2759712040424347,0.1434955894947052,0.04288168251514435,1.2396402275071619,0.09702928364276886,1.5422389757864141,0.05414760112762451,1.2441020721695677,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
